name,similarity,acol,bcol
title_me,MONGE_ELKAN,title,title
title_qg3,QGRAM,title,title
title_jw,JARO_WINKLER,title,title
title_jac,JACCARD,title,title
author_me,MONGE_ELKAN,2,2
author_qg3,QGRAM,2,2
author_jw,JARO_WINKLER,2,2
author_jac,JACCARD,2,2
binding_me,MONGE_ELKAN,3,3
binding_qg3,QGRAM,3,3
binding_jw,JARO_WINKLER,3,3
binding_jac,JACCARD,3,3
seriesTitle_me,MONGE_ELKAN,4,4
seriesTitle_qg3,QGRAM,4,4
seriesTitle_jw,JARO_WINKLER,4,4
seriesTitle_jac,JACCARD,4,4
publisher_me,MONGE_ELKAN,5,5
publisher_qg3,QGRAM,5,5
publisher_jw,JARO_WINKLER,5,5
publisher_jac,JACCARD,5,5
upc1_lev,LEVENSHTEIN,6,6
upc2_lev,LEVENSHTEIN,2,2
upc3_lev,JARO_WINKLER,2,2
upc4_lev,JACCARD,2,2
